BlockID StartX[Km] EndX[Km]
@0-blockSets0@ 0.09 0.3
@1-blockSets0@ 0.3 0.6
@2-blockSets0@ 0.6 0.9
@3-blockSets0@ 0.9 1.201
@4-blockSets0@ 1.201 1.502
@5-blockSets0@ 1.502 1.803
@6-blockSets0@ 1.803 2.104
@7-blockSets0@ 2.104 2.405
@8-blockSets0@ 2.405 2.706
@9-blockSets0@ 2.706 3.007
@10-blockSets0@ 3.007 3.308
@11-blockSets0@ 3.308 3.609
@12-blockSets0@ 3.609 3.91
@13-blockSets0@ 3.91 4.21
@14-blockSets0@ 4.21 4.51
@15-blockSets0@ 4.51 4.81
@16-blockSets0@ 4.81 5.11
@17-blockSets0@ 5.11 5.41
@18-blockSets0@ 5.41 5.71
@19-blockSets0@ 5.71 6.01
@20-blockSets0@ 6.01 6.31
@21-blockSets0@ 6.31 6.61
@22-blockSets0@ 6.61 6.91
@23-blockSets0@ 6.91 7.21
@24-blockSets0@ 7.21 7.51
@25-blockSets0@ 7.51 7.71
@26-blockSets0@ 7.71 8.11
@27-blockSets0@ 8.11 8.411
@28-blockSets0@ 8.411 8.712
@29-blockSets0@ 8.712 9.013
@30-blockSets0@ 9.013 9.314
@31-blockSets0@ 9.314 9.615
@32-blockSets0@ 9.615 9.916
@33-blockSets0@ 9.916 10.217
@34-blockSets0@ 10.217 10.518
@35-blockSets0@ 10.518 10.819
@36-blockSets0@ 10.819 11.12
@37-blockSets0@ 11.12 11.421
@38-blockSets0@ 11.421 11.722
@39-blockSets0@ 11.722 12.023
@40-blockSets0@ 12.023 12.324
@41-blockSets0@ 12.324 12.625
@42-blockSets0@ 12.625 12.926
@43-blockSets0@ 12.926 13.227
@44-blockSets0@ 13.227 13.528
@45-blockSets0@ 13.528 13.829
@46-blockSets0@ 13.829 14.13
@47-blockSets0@ 14.13 14.431
@48-blockSets0@ 14.431 14.732
@49-blockSets0@ 14.732 15.033
@50-blockSets0@ 15.033 15.334
@51-blockSets0@ 15.334 15.635
@52-blockSets0@ 15.635 15.885
@53-blockSets0@ 15.885 16.136
@54-blockSets0@ 16.136 16.436
@55-blockSets0@ 16.436 16.736
@56-blockSets0@ 16.736 17.036
@57-blockSets0@ 17.036 17.336
@58-blockSets0@ 17.336 17.636
@59-blockSets0@ 17.636 17.936
@60-blockSets0@ 17.936 18.236
@61-blockSets0@ 18.236 18.536
@62-blockSets0@ 18.536 18.836
@63-blockSets0@ 18.836 19.136
@64-blockSets0@ 19.136 19.436
@65-blockSets0@ 19.436 19.736
@66-blockSets0@ 19.736 20.036
@67-blockSets0@ 20.036 20.336
@68-blockSets0@ 20.336 20.636
@69-blockSets0@ 20.636 20.936
@70-blockSets0@ 20.936 21.236
@71-blockSets0@ 21.236 21.536
@72-blockSets0@ 21.536 21.836
@73-blockSets0@ 21.836 22.136
@74-blockSets0@ 22.136 22.436
@75-blockSets0@ 22.436 22.736
@76-blockSets0@ 22.736 22.986
@77-blockSets0@ 22.986 23.286
@78-blockSets0@ 23.286 23.586
@79-blockSets0@ 23.586 23.836
@80-blockSets0@ 23.836 23.986
@81-blockSets0@ 23.986 24.246
@82-blockSets0@ 24.246 24.546
@83-blockSets0@ 24.546 24.846
@84-blockSets0@ 24.846 25.146
@85-blockSets0@ 25.146 25.446
@86-blockSets0@ 25.446 25.746
@87-blockSets0@ 25.746 26.046
@88-blockSets0@ 26.046 26.346
@89-blockSets0@ 26.346 26.646
@90-blockSets0@ 26.646 26.946
@91-blockSets0@ 26.946 27.246
@92-blockSets0@ 27.246 27.546
@93-blockSets0@ 27.546 27.846
@94-blockSets0@ 27.846 28.146
@95-blockSets0@ 28.146 28.446
