BlockID StartX[Km] EndX[Km]
@0-blockSets0@ 9.636 10.987
@1-blockSets0@ 10.987 12.543
@2-blockSets0@ 12.543 14.081
@3-blockSets0@ 14.081 15.506
@4-blockSets0@ 15.506 17.01
@5-blockSets0@ 17.01 18.823
@6-blockSets0@ 18.823 20.354
@7-blockSets0@ 20.354 21.914
@8-blockSets0@ 21.914 22.946
@9-blockSets0@ 22.946 24.305
@10-blockSets0@ 24.305 25.32
@11-blockSets0@ 25.32 27.154
@12-blockSets0@ 27.154 28.153
@13-blockSets0@ 28.153 29.055
@14-blockSets0@ 29.055 30.57
@15-blockSets0@ 30.57 31.472
@16-blockSets0@ 31.472 32.816
@17-blockSets0@ 32.816 33.606
@18-blockSets0@ 33.606 33.76
@19-blockSets0@ 33.76 33.885
@0-blockSets1@ 9.636 10.156
@1-blockSets1@ 10.156 11.676
@2-blockSets1@ 11.676 13.67
@3-blockSets1@ 13.67 15.035
@4-blockSets1@ 15.035 16.484
@5-blockSets1@ 16.484 18.033
@6-blockSets1@ 18.033 19.943
@7-blockSets1@ 19.943 21.348
@8-blockSets1@ 21.348 22.886
@9-blockSets1@ 22.886 24.241
@10-blockSets1@ 24.241 25.208
@11-blockSets1@ 25.208 26.878
@12-blockSets1@ 26.878 27.209
@13-blockSets1@ 27.209 28.47
@14-blockSets1@ 28.47 29.47
@15-blockSets1@ 29.47 30.893
@16-blockSets1@ 30.893 32.419
@17-blockSets1@ 32.419 33.047
@18-blockSets1@ 33.047 33.76
@19-blockSets1@ 33.76 33.885
@0-blockSets2@ 9.636 10.987
@1-blockSets2@ 10.987 12.543
@2-blockSets2@ 12.543 14.081
@3-blockSets2@ 14.081 15.506
@4-blockSets2@ 15.506 17.01
@5-blockSets2@ 17.01 18.823
@6-blockSets2@ 18.823 19.943
@7-blockSets2@ 19.943 21.348
@8-blockSets2@ 21.348 21.944
@9-blockSets2@ 21.944 23.686
@10-blockSets2@ 23.686 25.402
@11-blockSets2@ 25.402 26.828
@12-blockSets2@ 26.828 28.679
@13-blockSets2@ 28.679 30.34
@14-blockSets2@ 30.34 31.863
@15-blockSets2@ 31.863 33.565
@16-blockSets2@ 33.565 35.39
@17-blockSets2@ 35.39 37.013
@18-blockSets2@ 37.013 38.612
@19-blockSets2@ 38.612 40.566
@20-blockSets2@ 40.566 42.66
@21-blockSets2@ 42.66 44.325
@22-blockSets2@ 44.325 45.66
@23-blockSets2@ 45.66 47.38
@24-blockSets2@ 47.38 49.096
@25-blockSets2@ 49.096 50.743
@26-blockSets2@ 50.743 52.358
@27-blockSets2@ 52.358 53.963
@28-blockSets2@ 53.963 57.27
@29-blockSets2@ 57.27 58.882
