Trackline 	 BlockID  	 EntrySignal 	 ExitSignal 	 BlockStartX[Km] 	BlockEndX[Km] 	 topologypartID 	 TopoPartStartX[Km] 	TopoPartEndX[Km] 	 length 	 gradient 	 curve 	 speedlimit
0	@0-B0@	Sign_0.000_tr_0	Sign_1.340_tr_0	0.000000	1.340000	@0-B0@-0	0.000000	0.200000	0.200000	0.000000	10000.000000	44.444444
0	@0-B0@	Sign_0.000_tr_0	Sign_1.340_tr_0	0.000000	1.340000	@0-B0@-1	0.200000	0.400000	0.200000	0.000000	10000.000000	44.444444
0	@0-B0@	Sign_0.000_tr_0	Sign_1.340_tr_0	0.000000	1.340000	@0-B0@-2	0.400000	0.600000	0.200000	0.000000	10000.000000	44.444444
0	@0-B0@	Sign_0.000_tr_0	Sign_1.340_tr_0	0.000000	1.340000	@0-B0@-3	0.600000	0.800000	0.200000	0.000000	10000.000000	44.444444
0	@0-B0@	Sign_0.000_tr_0	Sign_1.340_tr_0	0.000000	1.340000	@0-B0@-4	0.800000	1.000000	0.200000	0.000000	10000.000000	44.444444
0	@0-B0@	Sign_0.000_tr_0	Sign_1.340_tr_0	0.000000	1.340000	@0-B0@-5	1.000000	1.200000	0.200000	0.000000	10000.000000	44.444444
0	@0-B0@	Sign_0.000_tr_0	Sign_1.340_tr_0	0.000000	1.340000	@0-B0@-6	1.200000	1.340000	0.140000	0.000000	10000.000000	44.444444
0	@1-B0@	Sign_1.340_tr_0	Sign_1.361_tr_0	1.340000	1.361000	@1-B0@-0	1.340000	1.350000	0.010000	0.000000	10000.000000	44.444444
0	@1-B0@	Sign_1.340_tr_0	Sign_1.361_tr_0	1.340000	1.361000	@1-B0@-1	1.350000	1.361000	0.011000	0.000000	10000.000000	44.444444
0	@2-B0@	Sign_1.361_tr_0	Sign_2.862_tr_0	1.361000	2.862000	@2-B0@-0	1.361000	1.400000	0.039000	0.000000	10000.000000	44.444444
0	@2-B0@	Sign_1.361_tr_0	Sign_2.862_tr_0	1.361000	2.862000	@2-B0@-1	1.400000	1.600000	0.200000	0.000000	10000.000000	44.444444
0	@2-B0@	Sign_1.361_tr_0	Sign_2.862_tr_0	1.361000	2.862000	@2-B0@-2	1.600000	1.800000	0.200000	0.000000	26379.364940	44.444444
0	@2-B0@	Sign_1.361_tr_0	Sign_2.862_tr_0	1.361000	2.862000	@2-B0@-3	1.800000	2.000000	0.200000	0.000000	26379.364940	44.444444
0	@2-B0@	Sign_1.361_tr_0	Sign_2.862_tr_0	1.361000	2.862000	@2-B0@-4	2.000000	2.200000	0.200000	0.000000	6627.166016	44.444444
0	@2-B0@	Sign_1.361_tr_0	Sign_2.862_tr_0	1.361000	2.862000	@2-B0@-5	2.200000	2.400000	0.200000	0.000000	6718.653451	44.444444
0	@2-B0@	Sign_1.361_tr_0	Sign_2.862_tr_0	1.361000	2.862000	@2-B0@-6	2.400000	2.600000	0.200000	0.000000	6718.653451	44.444444
0	@2-B0@	Sign_1.361_tr_0	Sign_2.862_tr_0	1.361000	2.862000	@2-B0@-7	2.600000	2.800000	0.200000	0.000000	1688.913854	44.444444
0	@2-B0@	Sign_1.361_tr_0	Sign_2.862_tr_0	1.361000	2.862000	@2-B0@-8	2.800000	2.862000	0.062000	0.000000	1636.567404	44.444444
0	@3-B0@	Sign_2.862_tr_0	Sign_4.363_tr_0	2.862000	4.363000	@3-B0@-0	2.862000	3.000000	0.138000	0.000000	1636.567404	44.444444
0	@3-B0@	Sign_2.862_tr_0	Sign_4.363_tr_0	2.862000	4.363000	@3-B0@-1	3.000000	3.200000	0.200000	0.000000	2153.796201	44.444444
0	@3-B0@	Sign_2.862_tr_0	Sign_4.363_tr_0	2.862000	4.363000	@3-B0@-2	3.200000	3.400000	0.200000	0.000000	1829.871805	44.444444
0	@3-B0@	Sign_2.862_tr_0	Sign_4.363_tr_0	2.862000	4.363000	@3-B0@-3	3.400000	3.600000	0.200000	0.000000	1731.857695	44.444444
0	@3-B0@	Sign_2.862_tr_0	Sign_4.363_tr_0	2.862000	4.363000	@3-B0@-4	3.600000	3.800000	0.200000	0.000000	2305.056478	44.444444
0	@3-B0@	Sign_2.862_tr_0	Sign_4.363_tr_0	2.862000	4.363000	@3-B0@-5	3.800000	4.000000	0.200000	0.000000	41197.293419	44.444444
0	@3-B0@	Sign_2.862_tr_0	Sign_4.363_tr_0	2.862000	4.363000	@3-B0@-6	4.000000	4.200000	0.200000	0.000000	145144.987169	44.444444
0	@3-B0@	Sign_2.862_tr_0	Sign_4.363_tr_0	2.862000	4.363000	@3-B0@-7	4.200000	4.363000	0.163000	0.000000	171031.342526	44.444444
0	@4-B0@	Sign_4.363_tr_0	Sign_5.863_tr_0	4.363000	5.863000	@4-B0@-0	4.363000	4.400000	0.037000	0.000000	171031.342526	44.444444
0	@4-B0@	Sign_4.363_tr_0	Sign_5.863_tr_0	4.363000	5.863000	@4-B0@-1	4.400000	4.600000	0.200000	0.000000	171031.342526	44.444444
0	@4-B0@	Sign_4.363_tr_0	Sign_5.863_tr_0	4.363000	5.863000	@4-B0@-2	4.600000	4.800000	0.200000	0.000000	171031.342526	44.444444
0	@4-B0@	Sign_4.363_tr_0	Sign_5.863_tr_0	4.363000	5.863000	@4-B0@-3	4.800000	5.000000	0.200000	0.000000	99310.884938	44.444444
0	@4-B0@	Sign_4.363_tr_0	Sign_5.863_tr_0	4.363000	5.863000	@4-B0@-4	5.000000	5.200000	0.200000	0.000000	99310.884938	44.444444
