BlockID StartX[Km] EndX[Km]
@0-blockSets0@ 0 0.21
@1-blockSets0@ 0.21 0.43
@2-blockSets0@ 0.43 0.477
@3-blockSets0@ 0.477 0.502
@4-blockSets0@ 0.502 0.762
@0-blockSets1@ 0.056 0.276
@1-blockSets1@ 0.276 0.486
@2-blockSets1@ 0.486 0.555
@3-blockSets1@ 0.555 0.762
@0-blockSets2@ 0.105 0.535
@1-blockSets2@ 0.535 0.6365
@2-blockSets2@ 0.6365 0.683
@3-blockSets2@ 0.683 0.965
@4-blockSets2@ 0.965 0.984
@0-blockSets3@ 0.158 0.588
@1-blockSets3@ 0.588 0.6
@0-blockSets4@ 0.193 0.216
@1-blockSets4@ 0.216 0.2475
@2-blockSets4@ 0.2475 0.276
@3-blockSets4@ 0.276 0.4395
@4-blockSets4@ 0.4395 0.603
@5-blockSets4@ 0.603 0.623
@6-blockSets4@ 0.623 0.884
@0-blockSets5@ 0.227 0.338
@1-blockSets5@ 0.338 0.453
@2-blockSets5@ 0.453 0.477
@3-blockSets5@ 0.477 0.496
@4-blockSets5@ 0.496 0.515
@5-blockSets5@ 0.515 0.535
@6-blockSets5@ 0.535 0.555
@7-blockSets5@ 0.555 0.579
@8-blockSets5@ 0.579 0.603
@9-blockSets5@ 0.603 0.657
@10-blockSets5@ 0.657 0.683
@11-blockSets5@ 0.683 0.7025
@12-blockSets5@ 0.7025 0.722
@13-blockSets5@ 0.722 0.746
@14-blockSets5@ 0.746 0.77
@15-blockSets5@ 0.77 0.792
@16-blockSets5@ 0.792 1.087
@17-blockSets5@ 1.087 1.517
@18-blockSets5@ 1.517 1.685
@0-blockSets6@ 0.229 0.372
@1-blockSets6@ 0.372 0.515
@2-blockSets6@ 0.515 0.659
@3-blockSets6@ 0.659 0.762
@0-blockSets7@ 0.261 0.276
@1-blockSets7@ 0.276 0.291
@0-blockSets8@ 0.304 0.439
@0-blockSets9@ 0.377 0.4435
@1-blockSets9@ 0.4435 0.807
@2-blockSets9@ 0.807 1.237
@3-blockSets9@ 1.237 1.667
@4-blockSets9@ 1.667 1.8515
@5-blockSets9@ 1.8515 2.037
@0-blockSets10@ 0.403 0.445
@1-blockSets10@ 0.445 0.833
@2-blockSets10@ 0.833 1.263
@3-blockSets10@ 1.263 1.654
@4-blockSets10@ 1.654 1.687
@0-blockSets11@ 0.427 0.549
@1-blockSets11@ 0.549 0.857
@2-blockSets11@ 0.857 1.287
@3-blockSets11@ 1.287 1.5335
@4-blockSets11@ 1.5335 1.717
@5-blockSets11@ 1.717 2.147
@6-blockSets11@ 2.147 2.396
@0-blockSets12@ 0.462 0.477
@1-blockSets12@ 0.477 0.492
@0-blockSets13@ 0.494 0.802
@0-blockSets14@ 0.491 0.549
@1-blockSets14@ 0.549 0.921
@2-blockSets14@ 0.921 1.351
@3-blockSets14@ 1.351 1.399
@0-blockSets15@ 0.5 0.515
@1-blockSets15@ 0.515 0.53
@0-blockSets16@ 0.517 0.852
@0-blockSets17@ 0.522 0.6195
@1-blockSets17@ 0.6195 0.7735
@2-blockSets17@ 0.7735 0.952
@3-blockSets17@ 0.952 1.54
@4-blockSets17@ 1.54 1.556
@5-blockSets17@ 1.556 1.576
@6-blockSets17@ 1.576 1.597
@0-blockSets18@ 0.54 0.555
@1-blockSets18@ 0.555 0.57
@0-blockSets19@ 0.582 0.6195
@1-blockSets19@ 0.6195 1.012
@2-blockSets19@ 1.012 1.53
@3-blockSets19@ 1.53 1.546
@0-blockSets20@ 0.588 0.603
@1-blockSets20@ 0.603 0.618
