Trackline 	 BlockID  	 EntrySignal 	 ExitSignal 	 BlockStartX[Km] 	BlockEndX[Km] 	 topologypartID 	 TopoPartStartX[Km] 	TopoPartEndX[Km] 	 length 	 gradient 	 curve 	 speedlimit
0	@0-B0@	Sign_0.000_tr_0	Sign_0.210_tr_0	0.000000	0.210000	@0-B0@-0	0.000000	0.193000	0.193000	-0.005374	10000.000000	11.111000
0	@0-B0@	Sign_0.000_tr_0	Sign_0.210_tr_0	0.000000	0.210000	@0-B0@-1	0.193000	0.210000	0.017000	-0.005374	10000.000000	11.111000
0	@1-B0@	Sign_0.210_tr_0	Sign_0.430_tr_0	0.210000	0.430000	@1-B0@-0	0.210000	0.227000	0.017000	-0.005374	10000.000000	11.111000
0	@1-B0@	Sign_0.210_tr_0	Sign_0.430_tr_0	0.210000	0.430000	@1-B0@-1	0.227000	0.430000	0.203000	-0.005374	10000.000000	11.111000
0	@2-B0@	Sign_0.430_tr_0	Sign_0.477_tr_0	0.430000	0.477000	@2-B0@-0	0.430000	0.467000	0.037000	-0.005374	10000.000000	11.111000
0	@2-B0@	Sign_0.430_tr_0	Sign_0.477_tr_0	0.430000	0.477000	@2-B0@-1	0.467000	0.477000	0.010000	-0.005374	10000.000000	11.111000
0	@3-B0@	Sign_0.477_tr_0	Sign_0.502_tr_0	0.477000	0.502000	@3-B0@-0	0.477000	0.487000	0.010000	-0.005374	10000.000000	11.111000
0	@3-B0@	Sign_0.477_tr_0	Sign_0.502_tr_0	0.477000	0.502000	@3-B0@-1	0.487000	0.492000	0.005000	-0.005374	10000.000000	11.111000
0	@3-B0@	Sign_0.477_tr_0	Sign_0.502_tr_0	0.477000	0.502000	@3-B0@-2	0.492000	0.502000	0.010000	-0.005374	10000.000000	22.222000
0	@4-B0@	Sign_0.502_tr_0	Sign_0.762_tr_0	0.502000	0.762000	@4-B0@-0	0.502000	0.517000	0.015000	-0.005374	10000.000000	22.222000
0	@4-B0@	Sign_0.502_tr_0	Sign_0.762_tr_0	0.502000	0.762000	@4-B0@-1	0.517000	0.529000	0.012000	-0.005374	10000.000000	22.222000
0	@4-B0@	Sign_0.502_tr_0	Sign_0.762_tr_0	0.502000	0.762000	@4-B0@-2	0.529000	0.639000	0.110000	-0.005374	10000.000000	11.111000
0	@4-B0@	Sign_0.502_tr_0	Sign_0.762_tr_0	0.502000	0.762000	@4-B0@-3	0.639000	0.749000	0.110000	0.000000	10000.000000	11.111000
0	@4-B0@	Sign_0.502_tr_0	Sign_0.762_tr_0	0.502000	0.762000	@4-B0@-4	0.749000	0.762000	0.013000	-0.000327	10000.000000	11.111000
1	@0-B1@	Sign_0.056_tr_1	Sign_0.276_tr_1	0.056000	0.276000	@0-B1@-0	0.056000	0.266000	0.210000	-0.005374	10000.000000	11.111000
