BlockID StartX[Km] EndX[Km]
@0-B0@ 0 0.23
@1-B0@ 0.23 0.31
@2-B0@ 0.31 0.61
@3-B0@ 0.61 0.91
@4-B0@ 0.91 1.21
@5-B0@ 1.21 1.51
@6-B0@ 1.51 1.81
@7-B0@ 1.81 2.11
@8-B0@ 2.11 2.41
@9-B0@ 2.41 2.71
@10-B0@ 2.71 3.01
@11-B0@ 3.01 3.31
@12-B0@ 3.31 3.61
@13-B0@ 3.61 3.91
@14-B0@ 3.91 4.21
@15-B0@ 4.21 4.51
@16-B0@ 4.51 4.81
@17-B0@ 4.81 5.11
@18-B0@ 5.11 5.41
@19-B0@ 5.41 5.71
@20-B0@ 5.71 6.01
@21-B0@ 6.01 6.31
@22-B0@ 6.31 6.61
@23-B0@ 6.61 6.91
@24-B0@ 6.91 7.21
@25-B0@ 7.21 7.51
@26-B0@ 7.51 7.81
@27-B0@ 7.81 8.11
@28-B0@ 8.11 8.41
@29-B0@ 8.41 8.71
@30-B0@ 8.71 9.01
@31-B0@ 9.01 9.31
@32-B0@ 9.31 9.61
@33-B0@ 9.61 9.91
@34-B0@ 9.91 10.21
@35-B0@ 10.21 10.51
@36-B0@ 10.51 10.81
@37-B0@ 10.81 11.11
@38-B0@ 11.11 11.41
@39-B0@ 11.41 11.71
@40-B0@ 11.71 12.01
@41-B0@ 12.01 12.31
@42-B0@ 12.31 12.61
@43-B0@ 12.61 12.91
@44-B0@ 12.91 13.21
@45-B0@ 13.21 13.51
@46-B0@ 13.51 13.81
@47-B0@ 13.81 14.11
@48-B0@ 14.11 14.41
@49-B0@ 14.41 14.71
@50-B0@ 14.71 15.01
@51-B0@ 15.01 15.31
@52-B0@ 15.31 15.61
@53-B0@ 15.61 15.91
@54-B0@ 15.91 16.21
@55-B0@ 16.21 16.51
@56-B0@ 16.51 16.81
@57-B0@ 16.81 17.11
@58-B0@ 17.11 17.41
@59-B0@ 17.41 17.71
@60-B0@ 17.71 18.01
@61-B0@ 18.01 18.31
@62-B0@ 18.31 18.61
@63-B0@ 18.61 18.91
@64-B0@ 18.91 19.21
@65-B0@ 19.21 19.51
@66-B0@ 19.51 19.81
@67-B0@ 19.81 20.11
@68-B0@ 20.11 20.41
@69-B0@ 20.41 20.71
@70-B0@ 20.71 21.01
@71-B0@ 21.01 21.31
@72-B0@ 21.31 21.61
@73-B0@ 21.61 21.91
@74-B0@ 21.91 22.26
@75-B0@ 22.26 22.51
@76-B0@ 22.51 22.81
@77-B0@ 22.81 23.11
@78-B0@ 23.11 23.41
@79-B0@ 23.41 23.71
@80-B0@ 23.71 24.01
@81-B0@ 24.01 24.31
@82-B0@ 24.31 24.61
@83-B0@ 24.61 24.91
@84-B0@ 24.91 25.21
@85-B0@ 25.21 25.51
@86-B0@ 25.51 25.81
@87-B0@ 25.81 26.11
@88-B0@ 26.11 26.41
@89-B0@ 26.41 26.71
@90-B0@ 26.71 27.01
@91-B0@ 27.01 27.31
@92-B0@ 27.31 27.61
@93-B0@ 27.61 27.91
@94-B0@ 27.91 28.21
@95-B0@ 28.21 28.51
@96-B0@ 28.51 28.81
@97-B0@ 28.81 29.11
@98-B0@ 29.11 29.41
@99-B0@ 29.41 29.71
@100-B0@ 29.71 30.01
@101-B0@ 30.01 30.31
@102-B0@ 30.31 30.61
@103-B0@ 30.61 30.91
@104-B0@ 30.91 31.21
@105-B0@ 31.21 31.51
@106-B0@ 31.51 31.81
@107-B0@ 31.81 32.11
@108-B0@ 32.11 32.41
@109-B0@ 32.41 32.71
@110-B0@ 32.71 33.01
@111-B0@ 33.01 33.31
@112-B0@ 33.31 33.61
@113-B0@ 33.61 33.91
@114-B0@ 33.91 34.21
@115-B0@ 34.21 34.51
@116-B0@ 34.51 34.81
@117-B0@ 34.81 35.11
@118-B0@ 35.11 35.41
@119-B0@ 35.41 35.71
@120-B0@ 35.71 36.01
@121-B0@ 36.01 36.31
@122-B0@ 36.31 36.61
@123-B0@ 36.61 36.91
@124-B0@ 36.91 37.062
@0-B1@ 21.15 21.45
@1-B1@ 21.45 21.75
@2-B1@ 21.75 22.05
@3-B1@ 22.05 22.3
@0-B2@ 36.586 36.816
@1-B2@ 36.816 37.062
@0-B3@ 0 0.23
@1-B3@ 0.23 0.3
@0-B4@ 9.47 9.675
@1-B4@ 9.675 9.975
@2-B4@ 9.975 10.135
@3-B4@ 10.135 10.385
@0-B5@ 30.866 30.93
@1-B5@ 30.93 31.23
@2-B5@ 31.23 31.345
@32-B0@-9.539000/@0-B4@-9.549000 9.31 9.675
@71-B0@-21.235000/@0-B1@-21.252000 21.01 21.45
@103-B0@-30.866000/@0-B5@-30.889000 30.61 30.93
@122-B0@-36.586000/@0-B2@-36.636000 36.31 36.816
@3-B1@-22.208000/@74-B0@-22.238000 22.05 22.26
@1-B3@-0.250000/@1-B0@-0.300000 0.23 0.31
@3-B4@-10.347000/@35-B0@-10.357000 10.135 10.51
@2-B5@-31.342000/@105-B0@-31.365000 31.23 31.51
