BlockID StartX[Km] EndX[Km]
@0-blockSets0@ 0 0.23
@1-blockSets0@ 0.23 0.31
@2-blockSets0@ 0.31 0.61
@3-blockSets0@ 0.61 0.91
@4-blockSets0@ 0.91 1.21
@5-blockSets0@ 1.21 1.51
@6-blockSets0@ 1.51 1.81
@7-blockSets0@ 1.81 2.11
@8-blockSets0@ 2.11 2.41
@9-blockSets0@ 2.41 2.71
@10-blockSets0@ 2.71 3.01
@11-blockSets0@ 3.01 3.31
@12-blockSets0@ 3.31 3.61
@13-blockSets0@ 3.61 3.91
@14-blockSets0@ 3.91 4.21
@15-blockSets0@ 4.21 4.51
@16-blockSets0@ 4.51 4.81
@17-blockSets0@ 4.81 5.11
@18-blockSets0@ 5.11 5.41
@19-blockSets0@ 5.41 5.71
@20-blockSets0@ 5.71 6.01
@21-blockSets0@ 6.01 6.31
@22-blockSets0@ 6.31 6.61
@23-blockSets0@ 6.61 6.91
@24-blockSets0@ 6.91 7.21
@25-blockSets0@ 7.21 7.51
@26-blockSets0@ 7.51 7.81
@27-blockSets0@ 7.81 8.11
@28-blockSets0@ 8.11 8.41
@29-blockSets0@ 8.41 8.71
@30-blockSets0@ 8.71 9.01
@31-blockSets0@ 9.01 9.31
@32-blockSets0@ 9.31 9.61
@33-blockSets0@ 9.61 9.91
@34-blockSets0@ 9.91 10.21
@35-blockSets0@ 10.21 10.51
@36-blockSets0@ 10.51 10.81
@37-blockSets0@ 10.81 11.11
@38-blockSets0@ 11.11 11.41
@39-blockSets0@ 11.41 11.71
@40-blockSets0@ 11.71 12.01
@41-blockSets0@ 12.01 12.31
@42-blockSets0@ 12.31 12.61
@43-blockSets0@ 12.61 12.91
@44-blockSets0@ 12.91 13.21
@45-blockSets0@ 13.21 13.51
@46-blockSets0@ 13.51 13.81
@47-blockSets0@ 13.81 14.11
@48-blockSets0@ 14.11 14.41
@49-blockSets0@ 14.41 14.71
@50-blockSets0@ 14.71 15.01
@51-blockSets0@ 15.01 15.31
@52-blockSets0@ 15.31 15.61
@53-blockSets0@ 15.61 15.91
@54-blockSets0@ 15.91 16.21
@55-blockSets0@ 16.21 16.51
@56-blockSets0@ 16.51 16.81
@57-blockSets0@ 16.81 17.11
@58-blockSets0@ 17.11 17.41
@59-blockSets0@ 17.41 17.71
@60-blockSets0@ 17.71 18.01
@61-blockSets0@ 18.01 18.31
@62-blockSets0@ 18.31 18.61
@63-blockSets0@ 18.61 18.91
@64-blockSets0@ 18.91 19.21
@65-blockSets0@ 19.21 19.51
@66-blockSets0@ 19.51 19.81
@67-blockSets0@ 19.81 20.11
@68-blockSets0@ 20.11 20.41
@69-blockSets0@ 20.41 20.71
@70-blockSets0@ 20.71 21.01
@71-blockSets0@ 21.01 21.31
@72-blockSets0@ 21.31 21.61
@73-blockSets0@ 21.61 21.91
@74-blockSets0@ 21.91 22.26
@75-blockSets0@ 22.26 22.51
@76-blockSets0@ 22.51 22.81
@77-blockSets0@ 22.81 23.11
@78-blockSets0@ 23.11 23.41
@79-blockSets0@ 23.41 23.71
@80-blockSets0@ 23.71 24.01
@81-blockSets0@ 24.01 24.31
@82-blockSets0@ 24.31 24.61
@83-blockSets0@ 24.61 24.91
@84-blockSets0@ 24.91 25.21
@85-blockSets0@ 25.21 25.51
@86-blockSets0@ 25.51 25.81
@87-blockSets0@ 25.81 26.11
@88-blockSets0@ 26.11 26.41
