No 	 BlockSection 	 TDS_ID 	 startX 	 endX 	 length 
1 	 @0-B0@ 	 0-1.000000-3.000556-0 	 0.090000 	 0.195000 	 0.105000
2 	 @0-B0@ 	 0-3.000556-5.000000-0 	 0.195000 	 0.300000 	 0.105000
1 	 @1-B0@ 	 0-5.000000-5.000556-0 	 0.300000 	 0.357000 	 0.057000
2 	 @1-B0@ 	 0-5.000556-7.000000-0 	 0.357000 	 0.414000 	 0.057000
3 	 @1-B0@ 	 0-7.000000-7.000556-0 	 0.414000 	 0.460500 	 0.046500
4 	 @1-B0@ 	 0-7.000556-9.000000-0 	 0.460500 	 0.507000 	 0.046500
5 	 @1-B0@ 	 0-9.000000-9.000556-0 	 0.507000 	 0.553500 	 0.046500
6 	 @1-B0@ 	 0-9.000556-10.000000-0 	 0.553500 	 0.600000 	 0.046500
1 	 @2-B0@ 	 0-10.000000-11.000000-0 	 0.600000 	 0.609000 	 0.009000
2 	 @2-B0@ 	 0-11.000000-12.000556-0 	 0.609000 	 0.754500 	 0.145500
3 	 @2-B0@ 	 0-12.000556-14.000000-0 	 0.754500 	 0.900000 	 0.145500
1 	 @3-B0@ 	 0-14.000000-15.000556-0 	 0.900000 	 1.050500 	 0.150500
2 	 @3-B0@ 	 0-15.000556-14.310000-0 	 1.050500 	 1.201000 	 0.150500
1 	 @4-B0@ 	 0-14.310000-18.000556-0 	 1.201000 	 1.351500 	 0.150500
2 	 @4-B0@ 	 0-18.000556-14.620000-0 	 1.351500 	 1.502000 	 0.150500
1 	 @5-B0@ 	 0-14.620000-21.000556-0 	 1.502000 	 1.652500 	 0.150500
2 	 @5-B0@ 	 0-21.000556-14.930000-0 	 1.652500 	 1.803000 	 0.150500
1 	 @6-B0@ 	 0-14.930000-24.000556-0 	 1.803000 	 1.953500 	 0.150500
2 	 @6-B0@ 	 0-24.000556-15.240000-0 	 1.953500 	 2.104000 	 0.150500
1 	 @7-B0@ 	 0-15.240000-27.000556-0 	 2.104000 	 2.254500 	 0.150500
2 	 @7-B0@ 	 0-27.000556-15.550000-0 	 2.254500 	 2.405000 	 0.150500
1 	 @8-B0@ 	 0-15.550000-30.000556-0 	 2.405000 	 2.555500 	 0.150500
2 	 @8-B0@ 	 0-30.000556-15.860000-0 	 2.555500 	 2.706000 	 0.150500
1 	 @9-B0@ 	 0-15.860000-33.000556-0 	 2.706000 	 2.856500 	 0.150500
2 	 @9-B0@ 	 0-33.000556-16.170000-0 	 2.856500 	 3.007000 	 0.150500
1 	 @10-B0@ 	 0-16.170000-36.000556-0 	 3.007000 	 3.157500 	 0.150500
2 	 @10-B0@ 	 0-36.000556-16.480000-0 	 3.157500 	 3.308000 	 0.150500
1 	 @11-B0@ 	 0-16.480000-39.000556-0 	 3.308000 	 3.458500 	 0.150500
2 	 @11-B0@ 	 0-39.000556-16.790000-0 	 3.458500 	 3.609000 	 0.150500
1 	 @12-B0@ 	 0-16.790000-42.000556-0 	 3.609000 	 3.759500 	 0.150500
2 	 @12-B0@ 	 0-42.000556-17.100000-0 	 3.759500 	 3.910000 	 0.150500
1 	 @13-B0@ 	 0-17.100000-45.000556-0 	 3.910000 	 4.060000 	 0.150000
2 	 @13-B0@ 	 0-45.000556-17.410000-0 	 4.060000 	 4.210000 	 0.150000
1 	 @14-B0@ 	 0-17.410000-48.000556-0 	 4.210000 	 4.360000 	 0.150000
2 	 @14-B0@ 	 0-48.000556-17.720000-0 	 4.360000 	 4.510000 	 0.150000
1 	 @15-B0@ 	 0-17.720000-52.000556-0 	 4.510000 	 4.660000 	 0.150000
2 	 @15-B0@ 	 0-52.000556-18.030000-0 	 4.660000 	 4.810000 	 0.150000
1 	 @16-B0@ 	 0-18.030000-55.000556-0 	 4.810000 	 4.960000 	 0.150000
2 	 @16-B0@ 	 0-55.000556-18.340000-0 	 4.960000 	 5.110000 	 0.150000
1 	 @17-B0@ 	 0-18.340000-58.000556-0 	 5.110000 	 5.260000 	 0.150000
2 	 @17-B0@ 	 0-58.000556-18.650000-0 	 5.260000 	 5.410000 	 0.150000
1 	 @18-B0@ 	 0-18.650000-61.000556-0 	 5.410000 	 5.560000 	 0.150000
2 	 @18-B0@ 	 0-61.000556-18.960000-0 	 5.560000 	 5.710000 	 0.150000
1 	 @19-B0@ 	 0-18.960000-64.000556-0 	 5.710000 	 5.860000 	 0.150000
2 	 @19-B0@ 	 0-64.000556-19.270000-0 	 5.860000 	 6.010000 	 0.150000
1 	 @20-B0@ 	 0-19.270000-67.000556-0 	 6.010000 	 6.160000 	 0.150000
2 	 @20-B0@ 	 0-67.000556-19.580000-0 	 6.160000 	 6.310000 	 0.150000
1 	 @21-B0@ 	 0-19.580000-70.000556-0 	 6.310000 	 6.460000 	 0.150000
2 	 @21-B0@ 	 0-70.000556-19.890000-0 	 6.460000 	 6.610000 	 0.150000
1 	 @22-B0@ 	 0-19.890000-73.000556-0 	 6.610000 	 6.760000 	 0.150000
2 	 @22-B0@ 	 0-73.000556-20.200000-0 	 6.760000 	 6.910000 	 0.150000
1 	 @23-B0@ 	 0-20.200000-76.000556-0 	 6.910000 	 7.060000 	 0.150000
2 	 @23-B0@ 	 0-76.000556-20.510000-0 	 7.060000 	 7.210000 	 0.150000
1 	 @24-B0@ 	 0-20.510000-79.000556-0 	 7.210000 	 7.360000 	 0.150000
2 	 @24-B0@ 	 0-79.000556-20.820000-0 	 7.360000 	 7.510000 	 0.150000
1 	 @25-B0@ 	 0-20.820000-82.000000-0 	 7.510000 	 7.547000 	 0.037000
2 	 @25-B0@ 	 0-82.000000-83.000556-0 	 7.547000 	 7.628500 	 0.081500
3 	 @25-B0@ 	 0-83.000556-21.130000-0 	 7.628500 	 7.710000 	 0.081500
1 	 @26-B0@ 	 0-21.130000-87.000556-0 	 7.710000 	 7.910000 	 0.200000
2 	 @26-B0@ 	 0-87.000556-21.440000-0 	 7.910000 	 8.110000 	 0.200000
1 	 @27-B0@ 	 0-21.440000-90.000556-0 	 8.110000 	 8.218000 	 0.108000
2 	 @27-B0@ 	 0-90.000556-92.000000-0 	 8.218000 	 8.326000 	 0.108000
3 	 @27-B0@ 	 0-92.000000-92.000556-0 	 8.326000 	 8.368500 	 0.042500
4 	 @27-B0@ 	 0-92.000556-21.750000-0 	 8.368500 	 8.411000 	 0.042500
1 	 @28-B0@ 	 0-21.750000-94.000556-0 	 8.411000 	 8.561500 	 0.150500
2 	 @28-B0@ 	 0-94.000556-22.060000-0 	 8.561500 	 8.712000 	 0.150500
1 	 @29-B0@ 	 0-22.060000-97.000556-0 	 8.712000 	 8.862500 	 0.150500
2 	 @29-B0@ 	 0-97.000556-22.370000-0 	 8.862500 	 9.013000 	 0.150500
1 	 @30-B0@ 	 0-22.370000-100.000556-0 	 9.013000 	 9.163500 	 0.150500
2 	 @30-B0@ 	 0-100.000556-22.680000-0 	 9.163500 	 9.314000 	 0.150500
1 	 @31-B0@ 	 0-22.680000-103.000556-0 	 9.314000 	 9.464500 	 0.150500
2 	 @31-B0@ 	 0-103.000556-22.990000-0 	 9.464500 	 9.615000 	 0.150500
1 	 @32-B0@ 	 0-22.990000-106.000556-0 	 9.615000 	 9.765500 	 0.150500
2 	 @32-B0@ 	 0-106.000556-23.300000-0 	 9.765500 	 9.916000 	 0.150500
1 	 @33-B0@ 	 0-23.300000-109.000556-0 	 9.916000 	 10.066500 	 0.150500
2 	 @33-B0@ 	 0-109.000556-23.610000-0 	 10.066500 	 10.217000 	 0.150500
1 	 @34-B0@ 	 0-23.610000-113.000556-0 	 10.217000 	 10.367500 	 0.150500
2 	 @34-B0@ 	 0-113.000556-23.920000-0 	 10.367500 	 10.518000 	 0.150500
1 	 @35-B0@ 	 0-23.920000-116.000556-0 	 10.518000 	 10.668500 	 0.150500
2 	 @35-B0@ 	 0-116.000556-24.230000-0 	 10.668500 	 10.819000 	 0.150500
1 	 @36-B0@ 	 0-24.230000-119.000556-0 	 10.819000 	 10.969500 	 0.150500
2 	 @36-B0@ 	 0-119.000556-24.540000-0 	 10.969500 	 11.120000 	 0.150500
1 	 @37-B0@ 	 0-24.540000-122.000556-0 	 11.120000 	 11.270500 	 0.150500
