Trackline 	 BlockID  	 EntrySignal 	 ExitSignal 	 BlockStartX[Km] 	BlockEndX[Km] 	 topologypartID 	 TopoPartStartX[Km] 	TopoPartEndX[Km] 	 length 	 gradient 	 curve 	 speedlimit
0	@0-B0@	Sign_0.000_tr_0	Sign_0.230_tr_0	0.000000	0.230000	@0-B0@-0	0.000000	0.050000	0.050000	0.000000	10000.000000	19.444444
0	@0-B0@	Sign_0.000_tr_0	Sign_0.230_tr_0	0.000000	0.230000	@0-B0@-1	0.050000	0.100000	0.050000	0.020000	10000.000000	19.444444
0	@0-B0@	Sign_0.000_tr_0	Sign_0.230_tr_0	0.000000	0.230000	@0-B0@-2	0.100000	0.150000	0.050000	0.000600	10000.000000	19.444444
0	@0-B0@	Sign_0.000_tr_0	Sign_0.230_tr_0	0.000000	0.230000	@0-B0@-3	0.150000	0.200000	0.050000	0.000200	10000.000000	19.444444
0	@0-B0@	Sign_0.000_tr_0	Sign_0.230_tr_0	0.000000	0.230000	@0-B0@-4	0.200000	0.230000	0.030000	-0.004800	10000.000000	19.444444
0	@1-B0@	Sign_0.230_tr_0	Sign_0.310_tr_0	0.230000	0.310000	@1-B0@-0	0.230000	0.250000	0.020000	-0.004800	10000.000000	19.444444
0	@1-B0@	Sign_0.230_tr_0	Sign_0.310_tr_0	0.230000	0.310000	@1-B0@-1	0.250000	0.300000	0.050000	-0.007800	10000.000000	19.444444
0	@1-B0@	Sign_0.230_tr_0	Sign_0.310_tr_0	0.230000	0.310000	@1-B0@-2	0.300000	0.310000	0.010000	-0.007000	10000.000000	19.444444
0	@2-B0@	Sign_0.310_tr_0	Sign_0.610_tr_0	0.310000	0.610000	@2-B0@-0	0.310000	0.350000	0.040000	-0.007000	10000.000000	19.444444
0	@2-B0@	Sign_0.310_tr_0	Sign_0.610_tr_0	0.310000	0.610000	@2-B0@-1	0.350000	0.400000	0.050000	-0.007400	10000.000000	19.444444
